Timestamp,Heading,Pitch,Roll
101822468,48,-4,36
101852467,48,-4,36
101876475,48,-4,36
101924484,49,-4,36
101948475,49,-4,35
101980300,49,-4,35
102058460,49,-4,35
102086341,49,-4,35
102126294,49,-4,34
102223313,49,-4,34
102273282,49,-3,34
102297471,49,-3,34
102351310,49,-3,33
102411297,49,-3,33
102461315,49,-3,33
102511301,49,-3,33
102590311,49,-3,33
102635295,49,-3,32
102685313,50,-3,32
102737468,50,-3,32
102759520,50,-3,31
102821298,50,-3,31
102868561,50,-3,31
102923482,50,-3,31
102947460,50,-3,30
102971474,50,-3,30
103025463,50,-3,30
103049470,50,-3,29
103073466,50,-3,29
103124304,51,-3,29
103164367,51,-3,28
103194309,51,-3,28
103244300,51,-3,28
103318460,51,-3,27
103346264,51,-3,27
103370462,51,-3,27
103394474,51,-3,27
103663459,51,-3,25
103693455,50,-2,21
103715458,51,-1,18
103739446,51,0,13
103823521,52,2,3
103851443,53,1,-1
103875455,54,2,-5
103899447,54,3,-8
103961305,54,5,-13
104190305,54,4,-14
104224447,54,4,-14
104256654,54,4,-13
104314274,54,4,-13
104344272,54,4,-12
104374290,54,4,-12
104404292,54,4,-11
104470452,54,4,-10
104495452,54,4,-10
104519460,54,4,-9
104547326,54,4,-9
104698452,54,4,-8
104723632,54,4,-7
104747461,54,4,-7
104771451,54,4,-7
104825459,54,4,-6
104849442,54,4,-6
104873439,54,4,-5
104897447,55,4,-5
104955439,55,4,-4
104991294,55,4,-4
105039275,55,4,-4
105103450,55,4,-3
105127436,55,4,-3
105151446,55,4,-2
105175440,55,3,-2
105229450,55,3,-1
105253442,56,3,-1
105277451,56,3,-1
105307450,56,3,0
105509295,56,3,0
105539271,56,3,0
105571296,56,3,0
105601275,56,3,1
105681288,56,3,1
105711266,56,3,2
105735433,56,3,2
105761276,56,3,2
105871292,56,3,3
105901266,56,3,3
105931434,56,3,3
105977433,57,3,4
106007256,57,2,4
106047308,57,2,5
106077283,57,2,5
106153251,57,2,6
106183268,57,2,6
106223280,57,2,6
106275438,57,2,7
106299448,57,2,7
106329447,57,2,7
106377426,57,2,8
106401444,57,2,8
106425472,57,2,9
106511428,57,2,9
106535441,57,2,10
106565439,58,1,10
106604287,58,1,10
106673468,58,1,11
106725440,58,1,11
106749432,58,1,12
106773443,58,1,12
106827461,58,1,13
106851420,58,1,13
106875435,58,0,13
106923439,58,0,14
106953436,58,0,13
106977618,58,0,14
107025431,58,-1,16
107055430,58,0,19
107081298,58,0,21
107131263,58,0,25
107221259,58,-1,34
107270270,59,-1,39
107320236,60,-1,44
107371439,60,0,53
107401304,59,0,56
107451244,59,0,58
107501264,58,0,61
107551274,58,0,62
107577454,58,0,63
107673258,58,0,63
107703433,57,0,63
107728598,57,0,63
107783608,58,0,63
107819275,58,0,63
107869263,58,0,63
107975250,58,0,63
108034272,58,0,63
108084315,58,0,63
108114256,58,0,62
108196414,58,0,62
108226413,58,0,62
108250424,59,0,62
108304414,59,0,62
108336270,59,0,62
108366269,59,0,62
108456266,59,0,61
108506251,59,0,61
108528411,59,0,61
108558480,59,0,61
108626223,59,0,61
108650420,59,0,61
108674430,59,0,61
108731201,59,0,61
108756517,59,0,61
108787413,59,0,61
108811476,59,0,61
108857817,59,0,60
108883216,59,0,60
108908948,58,0,60
108934035,58,0,60
108964405,58,0,60
108993066,58,0,59
109023427,58,0,57
109051286,58,0,55
109104238,58,0,46
109129421,58,1,41
109153407,58,2,34
109207418,59,3,21
109231409,58,2,14
109255416,58,2,8
109319251,56,4,0
109349239,56,5,-3
109377227,55,5,-6
109429247,54,6,-11
109479266,54,7,-12
109529254,54,7,-13
109609242,54,7,-12
109653428,55,7,-12
109677322,55,7,-11
109707872,55,7,-11
109732411,55,7,-11
109756425,55,7,-10
109812250,55,7,-9
109837651,55,7,-9
109863331,55,7,-8
109888774,55,7,-8
109914412,55,7,-7
109944585,55,7,-7
109992416,56,7,-6
110016440,56,7,-6
110083014,56,7,-5
110133498,56,7,-4
110158763,56,7,-4
110184040,56,7,-4
110213395,56,7,-3
110237405,56,7,-3
110287399,57,7,-3
110315258,57,7,-2
110491429,57,7,-2
110515395,57,7,-2
110569408,57,6,-1
110593397,57,6,-1
110617461,57,6,0
110679396,57,6,0
110733231,58,6,0
110763230,58,6,0
110791266,58,6,0
110871253,58,5,1
110918939,58,5,1
110944219,57,5,0
110970015,57,5,0
111000397,57,5,0
111028231,56,6,0
111087980,56,6,-4
111113316,56,5,-7
111143674,57,4,-11
111163908,57,3,-14
111189301,57,2,-18
111215221,57,1,-21
111245402,58,0,-25
111266808,58,0,-28
111329186,59,-2,-32
111358529,58,-1,-32
111388225,58,-2,-33
111417577,59,-2,-33
111443899,59,-2,-34
111468292,58,-1,-35
111493643,58,0,-36
111518897,58,0,-36
111544310,57,0,-36
111569304,57,0,-37
111594733,56,1,-37
111621376,56,2,-37
111645603,55,2,-37
111670686,55,3,-36
111697957,55,3,-36
111721747,55,3,-36
111747201,55,3,-37
111772216,55,4,-37
111797388,55,4,-37
111823187,54,4,-37
111848295,54,4,-36
111874214,54,4,-36
111898910,54,4,-36
111924527,54,4,-36
111949764,54,4,-36
111974757,54,5,-35
112000211,55,5,-35
112025922,55,5,-35
112050811,55,5,-35
112076220,55,5,-34
112103158,55,5,-34
112127207,55,5,-34
112152307,55,5,-34
112177900,55,5,-34
112202931,55,5,-33
112233483,55,5,-33
112253966,55,5,-33
112283889,55,5,-33
112304486,55,5,-33
112329906,55,6,-32
112355197,55,6,-32
112380612,55,6,-32
112406160,55,6,-32
112432401,55,6,-32
112456390,55,6,-31
112515779,55,6,-31
112540737,55,6,-31
112566111,55,6,-31
112591780,55,6,-30
112617190,55,6,-30
112647187,55,6,-30
112667881,55,6,-30
112692880,55,6,-30
112718439,55,6,-29
112743633,54,6,-29
112774161,54,6,-29
112802894,54,6,-29
112828924,54,7,-28
112853292,54,7,-28
112881094,54,7,-28
112909172,54,7,-28
112937908,54,7,-28
112962989,54,7,-27
112988732,54,7,-27
113015195,54,7,-27
113039205,54,7,-27
113065442,54,7,-26
113089908,54,7,-26
113115214,54,7,-26
113140469,55,7,-26
113165897,55,7,-25
113191305,55,7,-25
113216604,55,7,-25
113243336,55,7,-25
113267204,55,7,-24
113292778,55,7,-24
113319896,55,8,-23
113343586,54,8,-23
113368923,54,8,-23
113394310,54,8,-22
113419229,54,9,-22
113444747,54,9,-21
113470200,54,9,-21
113495413,54,9,-21
113520586,54,10,-20
113545887,53,10,-20
113571582,53,10,-19
113596728,53,10,-18
113622183,53,10,-16
113647205,53,9,-14
113672780,52,9,-12
113698320,52,9,-9
113723690,51,9,-5
113748632,50,8,-1
113774180,49,8,2
113799736,49,7,7
113824747,48,7,12
113849918,48,6,16
113875743,48,6,21
113900971,48,5,25
113926284,49,5,29
113951584,50,5,33
113979917,51,5,37
114002224,53,5,40
114027405,54,5,43
114053388,55,4,45
114083401,56,4,47
114131385,56,2,49
114159380,56,1,50
114183367,56,0,50
114211249,56,0,50
114293375,56,0,50
114317369,56,0,50
114345431,56,0,50
114393407,56,0,50
114454206,56,0,49
114504224,56,0,49
114526377,56,0,49
114556376,56,0,49
114614364,56,0,48
114638376,56,0,48
114662367,56,0,48
114720224,56,0,47
114770211,56,0,47
114812981,56,0,47
114864399,57,0,47
114889287,57,0,47
114914735,57,0,46
114939908,57,0,46
114965273,57,0,46
114990630,57,0,46
115020367,57,0,46
115048249,57,0,45
115100171,57,-1,45
115131573,57,-1,45
115165196,57,-1,45
115219376,57,-1,44
115247378,57,-1,44
115271372,57,-1,44
115357416,58,-1,44
115412915,58,-1,44
115438362,58,-1,44
115466260,58,-1,43
115527171,58,-1,43
115548182,58,-1,43
115573185,58,-1,43
115598890,58,-1,42
115624366,58,-1,42
115652375,58,-1,42
115700431,58,-1,42
115730378,58,-1,41
115754371,58,-1,41
115802367,58,-1,41
115830180,58,-1,40
115866188,58,-1,40
115900208,58,-1,40
116010195,58,-1,40
116048366,58,-1,39
116080178,58,-1,39
116110354,58,-1,39
116184439,58,-1,39
116208370,58,-1,38
116232363,58,-1,38
116310365,58,-1,37
116334351,59,-1,37
116368190,59,-1,37
116398368,59,-1,37
116453190,59,-1,36
116483210,59,-1,36
116523191,59,-1,36
116563197,59,-1,35
116631368,59,-1,35
116655361,59,-1,35
116691190,59,0,35
116765347,59,0,34
116795347,59,0,34
116819361,59,0,34
116868368,59,0,33
116892362,59,0,33
116916348,59,0,33
116946348,59,0,32
117041191,59,0,32
117161184,59,0,32
117207442,59,0,32
117229360,59,0,31
117289229,59,0,31
117339169,59,0,31
117369349,59,0,30
117393354,59,0,30
117443252,60,0,30
117473194,60,0,30
117513180,60,0,29
117543178,60,0,29
117603198,60,0,29
117643183,60,0,28
117673192,60,0,28
117696340,60,0,28
117748183,60,0,27
117774187,60,0,27
117814174,60,0,27
117838527,60,0,26
117896195,60,0,26
117946163,61,0,26
117976337,61,0,25
