Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
546519,296,40,933,22,-3,6
546559,143,161,699,-3,12,8
546564,143,161,699,6,10,6
546571,127,195,663,6,10,6
546621,101,165,1066,24,-13,-1
546626,111,199,1110,22,-6,-1
546642,88,220,999,5,4,-4
546680,154,160,954,-7,1,-6
546688,163,113,975,-5,0,-9
546701,181,111,978,-3,0,-6
546740,172,146,905,-6,10,-3
546745,172,132,796,-4,12,-4
546757,157,139,797,0,8,-3
546800,117,131,777,13,-4,-2
546809,126,133,795,14,-7,-2
546822,159,127,949,10,-9,-2
546860,184,114,930,1,-6,-4
546864,179,101,927,1,-6,-4
546875,183,81,902,4,-4,-4
546917,168,100,941,14,-7,-1
546924,153,106,954,8,-6,-1
546940,158,155,912,7,-4,0
546984,138,101,1049,0,-8,-2
546991,134,136,1052,0,-8,-1
546999,137,118,1051,0,-7,-2
547038,114,122,1008,2,-6,-3
547042,114,122,1008,2,-6,-3
547053,106,127,1015,3,-5,-4
547104,109,120,997,5,4,-3
547111,109,123,1019,5,4,-3
547119,115,125,985,5,5,-3
547160,126,103,950,-3,1,-5
547166,128,98,892,-2,3,-5
547174,138,96,874,1,2,-4
547224,131,88,904,6,1,0
547228,131,88,904,6,1,0
547240,134,82,904,10,3,-1
547279,147,84,1048,4,-4,-1
547284,137,86,1022,4,-2,0
547292,141,70,999,4,0,-1
547341,138,72,968,6,0,1
547345,145,93,970,6,0,1
547356,151,77,982,6,0,0
547397,186,74,998,7,3,0
547406,185,77,1004,7,4,0
547419,166,113,954,4,7,1
547464,168,90,957,4,6,0
547468,168,90,957,4,6,0
547478,182,94,944,4,6,0
547517,168,109,974,2,8,-1
547522,165,126,970,2,8,0
547538,167,139,987,1,8,-1
547580,114,103,925,-7,17,-4
547583,114,103,925,-7,17,-4
547591,40,107,915,-12,19,-4
547640,-676,-748,-2068,-188,183,-4
547644,-676,-748,-2068,-188,183,-4
547657,-525,26,-3339,40,193,16
547700,-129,-1939,-3682,3,-106,64
547707,-230,-1924,-1557,48,-232,103
547718,-177,-1541,-473,70,-255,148
547759,-2266,-1055,3111,421,-344,132
547762,-2266,-1055,3111,421,-344,132
547770,-1583,-1476,3999,452,-371,99
547821,-300,111,3999,-134,-128,73
547828,-311,359,3652,-86,-35,44
547843,-297,38,3218,-43,7,-23
547882,46,558,1990,-190,83,52
547886,-739,884,2305,-190,83,52
547895,-1089,2652,3592,-94,39,68
547938,93,-185,813,-132,114,-150
547944,113,-541,335,-135,116,-136
547955,124,-703,125,-96,93,-103
548001,-152,366,1704,7,-36,33
548007,-152,366,1704,7,-36,33
548015,-116,359,1332,-1,-9,16
548061,1,240,978,67,11,-35
548064,1,240,978,67,11,-35
548073,1,224,968,87,14,-37
548118,53,71,910,0,9,3
548122,15,96,1054,0,9,3
548138,-106,151,1007,-6,21,2
548183,55,274,950,28,22,-3
548189,44,9,969,17,18,-22
548202,60,-200,999,12,15,-22
548244,43,70,960,-6,4,-5
548251,27,76,979,-6,3,-5
548264,15,92,1011,-1,5,-4
548299,53,85,994,2,2,-2
548307,49,93,995,2,1,-3
548316,47,75,997,2,0,-4
548360,64,63,971,6,-3,-6
548367,65,87,935,6,-2,-3
548376,66,65,954,8,-2,-2
548420,48,67,955,6,0,0
548425,49,62,964,7,0,0
548442,52,59,954,7,0,-1
548480,34,64,981,6,0,-1
548485,40,61,978,6,0,-1
548494,41,62,975,6,0,-1
548538,54,55,1000,7,0,-2
548543,54,54,965,4,-1,-1
548552,47,56,973,4,-1,-1
548601,54,89,1165,16,-5,2
548604,54,89,1165,16,-5,2
548612,57,16,942,45,-5,0
548661,35,-5,1025,41,-11,-1
548664,35,-5,1025,41,-11,-1
548674,56,-26,945,60,-8,-2
548718,-43,-70,1091,53,-4,-8
548723,201,-67,1214,53,-4,-8
548739,-124,-219,802,108,10,-14
548779,-32,-146,878,70,0,-5
548784,-32,-146,878,70,0,-5
548799,-29,-210,952,51,0,-8
548840,-512,-56,1476,18,-30,-44
548845,-512,-56,1476,190,-35,-33
548852,-218,-33,1101,190,-35,-33
548904,-284,-115,719,140,35,24
548911,-167,28,512,140,35,24
548924,205,-682,565,-73,59,-34
548956,-22,62,1493,-345,53,-46
548962,-22,62,1493,-345,53,-46
548978,-16,55,1302,-30,50,-16
549019,48,-181,747,105,-18,1
549023,48,-181,747,60,-14,4
549037,-56,-196,861,23,-8,1
549078,-6,-140,1036,-18,0,11
549082,-6,-140,1036,-7,2,14
549089,19,-148,1006,-7,2,14
549139,19,-167,968,9,1,0
549144,17,-160,946,8,0,0
549153,12,-153,960,2,-2,-1
549203,15,-153,965,3,0,0
549209,15,-153,965,6,0,0
549217,17,-157,943,2,0,0
549258,16,-159,958,1,0,0
549263,16,-157,960,1,0,0
549274,15,-153,957,0,0,0
549319,14,-155,967,1,0,0
549322,14,-155,967,1,0,0
549330,14,-154,966,1,0,0
549378,15,-157,966,0,0,0
549381,15,-157,966,0,0,0
549392,17,-157,965,1,0,0
549442,15,-157,959,1,0,0
549448,14,-158,959,1,0,0
549458,14,-157,958,1,0,0
549498,15,-157,962,1,0,0
549502,15,-157,962,1,0,0
549515,17,-159,960,2,0,0
549559,20,-158,962,0,0,0
549567,18,-157,963,1,0,0
549582,19,-157,963,1,0,0
549620,18,-159,965,2,0,0
549625,18,-159,964,2,0,0
549636,15,-159,964,2,0,0
549681,16,-164,958,3,0,0
549685,22,-168,958,3,0,0
549693,13,-161,960,2,0,0
549739,15,-166,959,3,0,0
549744,16,-168,959,3,0,0
549752,20,-168,961,3,0,0
549797,19,-172,955,2,0,0
549802,19,-171,959,2,0,0
549813,21,-168,959,1,0,0
549861,14,-168,958,1,0,0
549869,13,-169,959,2,0,0
549882,12,-169,960,1,0,0
549920,10,-174,955,3,0,0
549923,10,-174,955,3,0,0
549931,13,-173,953,2,0,0
549981,18,-175,957,2,0,0
549986,18,-175,957,2,0,0
549997,19,-174,959,1,0,0
550042,17,-172,959,1,0,0
550048,18,-172,960,1,0,0
550062,17,-172,959,1,0,0
550099,18,-173,957,1,0,0
550102,18,-173,957,1,0,0
550110,16,-173,957,0,0,0
550158,16,-174,957,1,0,0
550167,16,-174,958,1,0,0
550179,16,-174,957,0,0,0
550219,20,-174,955,1,0,0
550227,19,-174,956,1,0,0
550238,20,-174,955,0,0,0
550277,17,-174,960,0,0,0
550285,17,-174,959,1,0,0
550293,17,-176,959,1,0,0
550338,22,-174,956,0,0,0
550343,22,-173,957,0,0,0
550354,22,-171,959,0,0,0
550397,22,-173,960,1,0,0
550400,22,-173,960,1,0,0
550415,23,-172,959,1,0,0
550461,24,-175,957,1,0,0
550469,24,-175,958,1,0,0
550480,23,-176,959,1,0,0
550523,20,-176,958,2,0,0
550528,20,-177,959,1,0,0
550539,20,-176,960,1,0,0
550579,19,-174,958,1,0,0
550582,19,-174,958,1,0,0
550593,20,-174,961,0,0,0
550636,19,-177,953,2,0,0
550640,19,-176,953,2,0,0
550658,20,-177,957,1,0,0
550703,21,-178,958,1,0,0
550710,21,-177,960,1,0,0
550723,23,-177,959,1,0,0
550767,26,-177,958,1,0,0
550773,27,-176,958,0,0,0
550784,26,-177,961,0,0,0
550818,25,-179,960,1,0,0
550826,23,-179,961,1,0,0
550841,22,-177,959,1,0,0
550879,20,-178,957,1,0,0
550884,19,-179,957,1,0,0
